Fiscal Year,Service,Department,Program,Fund,Fund Type,Expense Type,Description,Approved Amount
2023,Education & Human Services,Human Services Department,Food & Nutrition,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,498,416"
2023,Education & Human Services,Human Services Department,Food & Nutrition,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Food & Nutrition,00100 - General Fund,General Fund,Expenditures,Labor,"12,178.37"
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,"12,637,978.06"
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Labor,"61,804.61"
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Labor,"164,156.29"
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Labor,496.16
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Labor,"792,671.62"
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Labor,"125,400.65"
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Labor,"1,376.98"
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,"923,262"
2023,Education & Human Services,Human Services Department,Gender-Based Violence Services,00100 - General Fund,General Fund,Expenditures,Labor,"8,930.54"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Non-Labor,"268,899.84"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Non-Labor,"2,219.81"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,819.85"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Non-Labor,"4,128.38"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Non-Labor,"35,408.71"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Non-Labor,"33,625"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Non-Labor,"3,815,280.98"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Labor,"43,885.4"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Labor,"121,177.14"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Labor,378.71
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Labor,"756,751.78"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Labor,"89,042.84"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Labor,"1,027.94"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Non-Labor,"416,635"
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Healthy Aging,00100 - General Fund,General Fund,Expenditures,Labor,"6,709"
2023,Education & Human Services,Human Services Department,HIV Management,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,106,885.26"
2023,Education & Human Services,Human Services Department,HIV Management,00100 - General Fund,General Fund,Expenditures,Non-Labor,"41,699"
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Non-Labor,"30,000"
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Non-Labor,"4,579.58"
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Labor,"71,228.93"
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Labor,"165,823.16"
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Labor,434.14
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Labor,"913,351.75"
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Labor,"149,853.08"
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Labor,"1,190.33"
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,491"
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Homeless Outreach and Provider Ecosystem (HOPE) Team,00100 - General Fund,General Fund,Expenditures,Labor,"7,995.88"
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Homelessness Prevention and Support,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Non-Labor,0.22
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Non-Labor,-0.5
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Non-Labor,-0.1
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Non-Labor,-0.15
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Non-Labor,"213,360"
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Non-Labor,"65,537,945.9"
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Non-Labor,"41,000"
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Non-Labor,"21,792,378"
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,King County Regional Homelessness Authority,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Navigation Team,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Non-Labor,"13,730,220.16"
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Labor,"14,038.66"
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Labor,"30,956.53"
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Labor,92.43
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Labor,"180,052.01"
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Labor,"28,484.23"
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Labor,251.47
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,666,957"
2023,Education & Human Services,Human Services Department,Physical Health Care,00100 - General Fund,General Fund,Expenditures,Labor,"1,719.75"
2023,Education & Human Services,Human Services Department,Prevention & Intervention,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Prevention & Intervention,00100 - General Fund,General Fund,Expenditures,Non-Labor,0.01
2023,Education & Human Services,Human Services Department,Prevention & Intervention,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Prevention & Intervention,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Prevention & Intervention,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Prevention & Intervention,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Prevention & Intervention,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Prevention & Intervention,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Prevention & Intervention,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"113,079.74"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"13,475.35"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"73,627.86"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"-27,128.58"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Labor,"44,699.83"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Labor,"103,781.38"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Labor,310.1
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Labor,"583,284.89"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Labor,"92,275.67"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Labor,848.37
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"2,001,134"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Labor,"-354,582"
2023,Education & Human Services,Human Services Department,Safe Communities Division Administration,00100 - General Fund,General Fund,Expenditures,Labor,"5,734.51"
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Safety,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Shelters & Housing,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Support Services,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Education & Human Services,Human Services Department,Victim Advocacy,00100 - General Fund,General Fund,Expenditures,Non-Labor,"17,434.3"
2023,Education & Human Services,Human Services Department,Victim Advocacy,00100 - General Fund,General Fund,Expenditures,Labor,"122,077.38"
2023,Education & Human Services,Human Services Department,Victim Advocacy,00100 - General Fund,General Fund,Expenditures,Labor,"367,987.99"
2023,Education & Human Services,Human Services Department,Victim Advocacy,00100 - General Fund,General Fund,Expenditures,Labor,868.28
2023,Education & Human Services,Human Services Department,Victim Advocacy,00100 - General Fund,General Fund,Expenditures,Labor,"15,000"
2023,Education & Human Services,Human Services Department,Victim Advocacy,00100 - General Fund,General Fund,Expenditures,Labor,"1,565,133.49"
2023,Education & Human Services,Human Services Department,Victim Advocacy,00100 - General Fund,General Fund,Expenditures,Labor,"248,578.45"
2023,Education & Human Services,Human Services Department,Victim Advocacy,00100 - General Fund,General Fund,Expenditures,Labor,"2,434.55"
2023,Education & Human Services,Human Services Department,Victim Advocacy,00100 - General Fund,General Fund,Expenditures,Labor,"15,317.24"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Non-Labor,"461,819.37"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Non-Labor,"20,415.26"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Non-Labor,-186.21
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Non-Labor,610.78
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Non-Labor,"35,436.05"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Non-Labor,"65,794.99"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Non-Labor,"684,193.18"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Non-Labor,"4,577,035.58"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Labor,"164,459.08"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Labor,"455,384.19"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Labor,"1,381.23"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Labor,"2,111,288.35"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Labor,"334,005.82"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Labor,"3,849.53"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Non-Labor,"264,635"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Labor,"-317,240.75"
2023,Education & Human Services,Human Services Department,Youth Development,00100 - General Fund,General Fund,Expenditures,Labor,"24,655.01"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"833,328.66"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"13,103.92"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,493.46
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,722.71
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"214,438.54"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"533,157.21"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"46,978.27"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"11,854"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"1,330,196.33"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"9,083.33"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"19,418"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Engagement Coordinators,00100 - General Fund,General Fund,Expenditures,Non-Labor,"66,136"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Engagement Coordinators,00100 - General Fund,General Fund,Expenditures,Non-Labor,"185,228"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Engagement Coordinators,00100 - General Fund,General Fund,Expenditures,Labor,"113,108.2"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Engagement Coordinators,00100 - General Fund,General Fund,Expenditures,Labor,"-19,379"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Engagement Coordinators,00100 - General Fund,General Fund,Expenditures,Labor,"4,909"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Engagement Coordinators,00100 - General Fund,General Fund,Expenditures,Labor,"1,781,528.73"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Engagement Coordinators,00100 - General Fund,General Fund,Expenditures,Labor,"225,547.92"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Engagement Coordinators,00100 - General Fund,General Fund,Expenditures,Labor,"-171,421.56"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Engagement Coordinators,00100 - General Fund,General Fund,Expenditures,Non-Labor,"-256,372.15"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Liaisons,00100 - General Fund,General Fund,Expenditures,Non-Labor,"341,242"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Liaisons,00100 - General Fund,General Fund,Expenditures,Labor,"27,267.14"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Liaisons,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Liaisons,00100 - General Fund,General Fund,Expenditures,Labor,379.44
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Liaisons,00100 - General Fund,General Fund,Expenditures,Labor,"359,609"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Liaisons,00100 - General Fund,General Fund,Expenditures,Labor,"56,253.24"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Safety,00100 - General Fund,General Fund,Expenditures,Non-Labor,"10,000"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Community Safety,00100 - General Fund,General Fund,Expenditures,Non-Labor,"863,194.32"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"58,133"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"-2,611"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"151,985.59"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"-20,780.01"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"2,430"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"1,948,854.08"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"341,442.73"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,712.4
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Divisional Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Duwamish River Opportunity Fun,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Find It Fix It,00100 - General Fund,General Fund,Expenditures,Non-Labor,"30,000"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Find It Fix It,00100 - General Fund,General Fund,Expenditures,Non-Labor,"-30,000"
2023,Livable & Inclusive Communities,Department of Neighborhoods,Healthy Food Fund,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Healthy Food Fund,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Healthy Food Fund,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Livable & Inclusive Communities,Department of Neighborhoods,Healthy Food Fund,00100 - General Fund,General Fund,Expenditures,Labor,0
